,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,mes
0,A CORUÑA,10.129288702928871,1.5033755274261604,5.338356164383561,6.190376569037657,14.065271966527197,enero
1,ALBACETE,6.384677419354839,0.04596774193548387,7.015384615384615,0.02661290322580647,12.73709677419355,enero
2,ALICANTE,9.916129032258064,0.4336363636363636,6.690322580645161,3.551612903225806,16.28306451612903,enero
3,ALMERIA,11.83658536585366,0.11612903225806452,6.77741935483871,7.021138211382114,16.647967479674797,enero
4,ARABA/ALAVA,4.653225806451613,2.538333333333333,5.422580645161291,-1.2838709677419353,10.593548387096773,enero
5,ASTURIAS,8.325739644970414,1.6195121951219513,4.994170403587444,4.604733727810651,12.047041420118344,enero
6,AVILA,5.7,0.184,5.935483870967742,-0.19999999999999998,11.5921568627451,enero
7,BADAJOZ,9.021505376344086,0.14301075268817204,7.554545454545456,2.71505376344086,15.31774193548387,enero
8,BARCELONA,8.913333333333334,0.24181818181818182,6.178378378378378,3.7,14.126060606060607,enero
9,BIZKAIA,8.689247311827957,3.305691056910569,4.803225806451613,4.66989247311828,12.7,enero
10,BURGOS,3.5406451612903225,0.6443708609271523,4.911382113821138,-2.8967741935483873,9.967096774193548,enero
11,CACERES,8.376129032258063,0.19483870967741934,8.050537634408602,2.64,14.117419354838708,enero
12,CADIZ,12.333179723502305,0.3754716981132075,7.47,8.201382488479263,16.46036866359447,enero
13,CANTABRIA,7.795852534562212,2.0204651162790697,4.838709677419355,3.3262672811059906,12.261290322580644,enero
14,CASTELLON,6.636956521739131,0.2040650406504065,7.301612903225807,1.3336956521739132,11.947826086956523,enero
15,CIUDAD REAL,6.016774193548387,0.3580645161290323,7.228260869565218,-1.0064516129032257,13.051612903225806,enero
16,CORDOBA,9.301612903225807,0.16451612903225804,8.048387096774194,3.418548387096774,15.176612903225807,enero
17,CUENCA,6.20495867768595,0.33978494623655914,6.8999999999999995,-1.2305785123966944,13.640495867768594,enero
18,GIPUZKOA,7.804838709677419,4.122222222222222,4.2279569892473114,3.731720430107527,11.876344086021506,enero
19,GIRONA,4.854032258064516,0.12195121951219512,6.41774193548387,-2.511290322580645,12.220161290322581,enero
20,GRANADA,7.366935483870968,0.22934782608695653,6.83763440860215,-0.23629032258064514,14.97258064516129,enero
21,GUADALAJARA,3.6763440860215053,0.2977777777777778,7.070652173913044,-4.5784946236559145,11.931182795698923,enero
22,HUELVA,12.106451612903227,0.1146341463414634,8.26774193548387,6.637903225806451,17.574193548387097,enero
23,HUESCA,5.123387096774193,1.1365853658536587,6.018279569892473,-0.9637096774193549,11.212903225806452,enero
24,ILLES BALEARS,9.731290322580644,0.5537162162162163,6.1,4.946774193548387,14.509677419354839,enero
25,JAEN,8.695555555555556,0.382089552238806,7.0246575342465745,3.0592592592592593,14.332592592592594,enero
26,LA RIOJA,5.95483870967742,0.3892857142857143,5.996774193548387,0.6451612903225806,11.270967741935483,enero
27,LAS PALMAS,18.732407407407408,0.4824644549763033,6.716304347826087,15.665277777777776,21.79675925925926,enero
28,LEON,3.984677419354839,0.46311475409836067,6.19247311827957,-1.967741935483871,9.941935483870967,enero
29,LLEIDA,3.517857142857143,1.41875,7.290322580645161,-3.382142857142857,10.422321428571427,enero
30,LUGO,6.467741935483871,1.2000000000000002,4.935483870967742,0.7064516129032259,12.22258064516129,enero
31,MADRID,5.0465053763440855,0.5486725663716814,7.096774193548387,-0.4615591397849462,10.559139784946236,enero
32,MALAGA,12.67741935483871,0.252972972972973,3.6129032258064515,8.749032258064515,16.601290322580645,enero
33,MURCIA,10.192532467532468,0.34197080291970805,6.510697674418604,4.210064935064935,16.216774193548385,enero
34,NAVARRA,5.594771241830065,3.28961038961039,6.27741935483871,-0.18636363636363637,11.353896103896103,enero
35,OURENSE,6.2647540983606556,0.7655737704918033,5.069354838709677,-0.5860655737704918,13.109836065573772,enero
36,PALENCIA,4.051612903225807,0.33440860215053764,6.656451612903226,-2.29247311827957,10.388172043010753,enero
37,PONTEVEDRA,10.09016393442623,2.7879310344827584,6.360344827586206,5.331147540983606,14.836065573770492,enero
38,SALAMANCA,4.542580645161291,0.24000000000000002,7.016129032258065,-1.9464516129032257,11.038709677419355,enero
39,SEGOVIA,3.3741935483870966,0.6655737704918033,5.2606557377049175,-0.6758064516129032,7.41774193548387,enero
40,SEVILLA,10.428387096774195,0.10993377483443707,7.754838709677419,3.8,17.056129032258063,enero
41,SORIA,4.506451612903225,0.12,7.83225806451613,-3.2096774193548385,12.229032258064517,enero
42,STA. CRUZ DE TENERIFE,17.09225806451613,1.4914191419141913,6.403763440860215,14.049032258064516,20.135483870967743,enero
43,TARRAGONA,9.212903225806452,0.10967741935483871,7.974193548387096,2.456451612903226,15.974193548387097,enero
44,TERUEL,4.880645161290323,0.09593495934959351,7.529032258064516,-2.4411290322580643,12.208064516129031,enero
45,TOLEDO,6.548571428571429,0.22,7.52,-0.4361904761904762,13.532380952380953,enero
46,VALENCIA,9.85268817204301,0.4972972972972973,7.054838709677419,3.658064516129032,16.045698924731184,enero
47,VALLADOLID,4.353225806451612,0.2564516129032258,7.141935483870968,-1.9516129032258065,10.65967741935484,enero
48,ZAMORA,4.131182795698924,0.08172043010752687,6.480645161290323,-2.850537634408602,11.110752688172042,enero
49,ZARAGOZA,5.201290322580645,0.48947368421052634,6.887096774193548,-1.2025806451612904,11.609032258064516,enero
