,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,mes
0,A CORUÑA,11.490283400809716,3.748898678414097,5.25886524822695,7.617004048582996,15.374596774193549,marzo
1,ALBACETE,9.291129032258064,2.7008196721311477,2.9839285714285713,5.733870967741935,12.84274193548387,marzo
2,ALICANTE,12.988709677419354,7.06694214876033,3.7021505376344086,9.316935483870967,16.67096774193548,marzo
3,ALMERIA,14.205405405405406,2.833076923076923,4.927777777777778,10.381081081081081,18.029054054054054,marzo
4,ARABA/ALAVA,8.561290322580644,1.6295081967213116,3.27258064516129,3.990322580645161,13.125806451612902,marzo
5,ASTURIAS,9.973313782991202,3.2975535168195718,4.055696202531646,6.281231671554252,13.670381231671556,marzo
6,AVILA,8.612903225806452,4.7813559322033905,3.467741935483871,4.943548387096774,12.29516129032258,marzo
7,BADAJOZ,12.21236559139785,2.7666666666666666,4.734193548387096,7.497849462365591,16.918279569892473,marzo
8,BARCELONA,11.885714285714286,2.649664429530201,2.651086956521739,8.777272727272727,14.992857142857144,marzo
9,BIZKAIA,12.36774193548387,3.6098360655737705,3.096774193548387,8.638709677419355,16.095967741935485,marzo
10,BURGOS,7.198701298701298,1.823943661971831,3.24297520661157,2.868181818181818,11.532467532467532,marzo
11,CACERES,11.674193548387096,3.2263157894736842,4.3326086956521745,7.51741935483871,15.827741935483871,marzo
12,CADIZ,13.527441860465117,6.841784037558686,5.245161290322581,10.009302325581395,17.04372093023256,marzo
13,CANTABRIA,11.15668202764977,3.4714285714285715,4.3892473118279565,7.351152073732719,14.951612903225806,marzo
14,CASTELLON,7.768817204301075,7.182568807339449,3.2849999999999997,4.938709677419355,10.59247311827957,marzo
15,CIUDAD REAL,10.025974025974026,2.3577922077922078,3.438888888888889,5.760389610389611,14.290909090909093,marzo
16,CORDOBA,11.666935483870969,3.310569105691057,5.861290322580645,7.164516129032258,16.175806451612903,marzo
17,CUENCA,8.537333333333333,2.34,2.8803278688524587,4.464,12.609333333333334,marzo
18,GIPUZKOA,12.005913978494624,4.145555555555556,3.335483870967742,8.30215053763441,15.70752688172043,marzo
19,GIRONA,7.944262295081968,3.7042372881355936,3.203225806451613,3.8393442622950817,12.049180327868852,marzo
20,GRANADA,11.016935483870967,3.6586538461538463,4.035869565217391,5.951612903225806,16.086290322580645,marzo
21,GUADALAJARA,7.244565217391305,2.6482758620689655,2.9152173913043478,2.6652173913043478,11.833695652173914,marzo
22,HUELVA,13.583064516129031,4.443333333333333,6.354838709677419,9.290322580645162,17.884677419354837,marzo
23,HUESCA,7.815322580645161,1.908943089430894,3.3795698924731186,3.329838709677419,12.291129032258064,marzo
24,ILLES BALEARS,12.381639344262295,2.4774834437086093,3.0698924731182795,9.274426229508196,15.490819672131147,marzo
25,JAEN,11.474675324675324,3.0961038961038962,3.8284090909090907,7.428571428571429,15.521428571428572,marzo
26,LA RIOJA,9.674193548387096,1.4607142857142856,2.9645161290322584,5.738709677419355,13.587096774193547,marzo
27,LAS PALMAS,18.598095238095237,0.3375,8.253932584269663,15.422857142857143,21.771428571428572,marzo
28,LEON,6.481451612903226,2.610655737704918,3.832258064516129,2.1806451612903226,10.787096774193548,marzo
29,LLEIDA,8.683471074380165,1.8273504273504275,4.032258064516129,3.4330578512396692,13.928099173553719,marzo
30,LUGO,8.958064516129031,2.9806451612903224,4.512903225806451,3.045161290322581,14.858064516129033,marzo
31,MADRID,8.24090909090909,4.521967213114754,2.743010752688172,4.574675324675325,11.906818181818183,marzo
32,MALAGA,14.36144578313253,6.894252873563218,4.278688524590164,10.719277108433735,18.006626506024094,marzo
33,MURCIA,13.246688741721854,5.98255033557047,3.1887323943661974,9.608609271523179,16.86051779935275,marzo
34,NAVARRA,9.897419354838709,2.3896774193548387,3.0999999999999996,5.492903225806452,14.29741935483871,marzo
35,OURENSE,9.366935483870968,2.606451612903226,3.575806451612903,3.803225806451613,14.923387096774194,marzo
36,PALENCIA,6.781720430107527,2.8548387096774195,3.4016129032258067,2.046236559139785,11.510752688172044,marzo
37,PONTEVEDRA,11.996774193548386,3.480701754385965,4.808620689655172,7.579032258064516,16.432258064516127,marzo
38,SALAMANCA,7.2619354838709675,2.0625,3.713821138211382,2.749032258064516,11.769032258064517,marzo
39,SEGOVIA,4.675806451612903,6.5964912280701755,2.6048387096774195,1.6774193548387097,7.656451612903226,marzo
40,SEVILLA,13.055483870967741,4.123489932885906,4.434426229508197,8.15741935483871,17.94516129032258,marzo
41,SORIA,6.183870967741935,3.08,2.7451612903225806,2.2903225806451615,10.083870967741936,marzo
42,STA. CRUZ DE TENERIFE,16.77843137254902,1.0430711610486891,7.616129032258064,13.563725490196079,19.99346405228758,marzo
43,TARRAGONA,12.32258064516129,2.7644067796610168,3.019354838709677,8.469354838709679,16.18548387096774,marzo
44,TERUEL,8.819354838709677,1.7289256198347107,2.7274725274725276,4.758064516129032,12.883064516129032,marzo
45,TOLEDO,10.100862068965517,3.085925925925926,3.6116666666666664,5.925,14.27155172413793,marzo
46,VALENCIA,12.317142857142857,6.816666666666667,2.9796747967479673,8.998571428571429,15.631428571428572,marzo
47,VALLADOLID,8.095161290322581,1.9068965517241379,3.514516129032258,3.4838709677419355,12.73709677419355,marzo
48,ZAMORA,8.401075268817204,1.6559139784946237,3.643478260869565,3.7311827956989245,13.066666666666666,marzo
49,ZARAGOZA,9.519354838709678,1.5973856209150328,3.1629032258064513,5.456774193548386,13.585806451612905,marzo
