,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,mes
0,A CORUÑA,17.140528634361235,2.2045454545454546,6.298591549295774,13.666519823788548,20.6136563876652,junio
1,ALBACETE,24.450420168067225,0.0896551724137931,11.862499999999999,16.366386554621847,32.522689075630254,junio
2,ALICANTE,24.779999999999998,0.2550847457627119,12.43,18.069166666666668,31.484166666666667,junio
3,ALMERIA,23.67615384615385,0.05039370078740158,10.983050847457626,18.652307692307694,28.7,junio
4,ARABA/ALAVA,19.43166666666667,0.510909090909091,7.826666666666667,12.016666666666667,26.85,junio
5,ASTURIAS,16.899390243902438,2.6071661237785015,5.2861111111111105,13.25670731707317,20.549999999999997,junio
6,AVILA,19.996666666666666,0.2571428571428572,10.603333333333333,13.166666666666666,26.80666666666667,junio
7,BADAJOZ,24.24277777777778,0.043333333333333335,11.126845637583893,16.171111111111113,32.31055555555555,junio
8,BARCELONA,24.59261744966443,0.2326530612244898,10.644444444444444,19.653691275167787,29.532214765100672,junio
9,BIZKAIA,19.48478260869565,1.8899159663865546,5.473333333333333,14.94891304347826,24.016304347826086,junio
10,BURGOS,19.513333333333332,0.5,8.750847457627119,10.978,28.045999999999996,junio
11,CACERES,24.070666666666668,0.18503401360544217,10.424444444444445,16.644,31.496666666666666,junio
12,CADIZ,22.75023923444976,0.0024154589371980675,12.145762711864407,17.98181818181818,27.522488038277512,junio
13,CANTABRIA,18.46682926829268,1.7878787878787878,6.554444444444444,14.03170731707317,22.904390243902437,junio
14,CASTELLON,21.832222222222224,0.9831932773109243,10.523333333333333,16.27,27.39888888888889,junio
15,CIUDAD REAL,24.629333333333335,0.05333333333333334,11.613333333333333,16.492,32.766,junio
16,CORDOBA,24.731355932203392,0.00423728813559322,13.05,16.677966101694917,32.784745762711864,junio
17,CUENCA,23.695,0.0625,9.2,14.886666666666667,32.5,junio
18,GIPUZKOA,19.717777777777776,2.6646067415730337,5.930000000000001,15.476111111111111,23.955,junio
19,GIRONA,22.25294117647059,0.7495726495726496,10.54915254237288,14.6890756302521,29.82605042016807,junio
20,GRANADA,24.590833333333332,0.018487394957983194,11.85,15.545833333333333,33.64416666666667,junio
21,GUADALAJARA,20.763636363636365,0.16585365853658537,11.870000000000001,12.010227272727274,29.51931818181818,junio
22,HUELVA,23.216666666666665,0.01,12.686666666666667,17.0775,29.34916666666667,junio
23,HUESCA,22.059663865546216,1.1681818181818182,8.725882352941177,14.442016806722688,29.6781512605042,junio
24,ILLES BALEARS,24.482758620689655,0.08225255972696247,10.924444444444445,19.331724137931033,29.632758620689657,junio
25,JAEN,25.594444444444445,0.2486111111111111,11.042857142857143,17.739583333333332,33.45763888888889,junio
26,LA RIOJA,23.633333333333333,0.23200000000000004,9.613333333333333,15.846666666666666,31.45,junio
27,LAS PALMAS,22.727884615384614,0.00679611650485437,9.7,19.73173076923077,25.72596153846154,junio
28,LEON,17.73627450980392,1.3699999999999999,8.854166666666666,10.845098039215687,24.624509803921566,junio
29,LLEIDA,23.090833333333332,1.731818181818182,11.727586206896552,14.952499999999999,31.23,junio
30,LUGO,16.903333333333332,3.1133333333333337,5.1066666666666665,11.566666666666666,22.253333333333334,junio
31,MADRID,21.796358543417366,0.08501440922190202,11.439664804469274,14.696078431372548,28.899439775910366,junio
32,MALAGA,24.27078651685393,0.011864406779661017,9.65,18.86179775280899,29.685393258426966,junio
33,MURCIA,25.323287671232876,0.1374581939799331,12.07843137254902,18.459931506849315,32.190102389078504,junio
34,NAVARRA,22.57551020408163,0.4486486486486487,8.306666666666667,15.171812080536911,29.944594594594594,junio
35,OURENSE,18.0775,2.203333333333333,6.483050847457627,11.393333333333334,24.765833333333333,junio
36,PALENCIA,18.726666666666667,0.39111111111111113,7.276666666666667,10.373333333333333,27.083333333333332,junio
37,PONTEVEDRA,18.018965517241377,2.8438596491228068,6.452000000000001,13.639655172413793,22.371186440677967,junio
38,SALAMANCA,19.118,0.4611570247933884,9.375833333333333,11.792,26.438,junio
39,SEGOVIA,18.408333333333335,0.4666666666666667,10.431666666666667,12.4,24.421666666666667,junio
40,SEVILLA,24.275193798449614,0.005970149253731343,12.113333333333333,15.848837209302326,32.70542635658915,junio
41,SORIA,20.36,0.22142857142857145,10.043333333333333,12.31,28.41,junio
42,STA. CRUZ DE TENERIFE,21.497,0.08807017543859649,8.984357541899442,18.240333333333336,24.751,junio
43,TARRAGONA,25.48,0.49333333333333335,10.555,19.40666666666667,31.541666666666668,junio
44,TERUEL,23.876666666666665,0.7000000000000001,10.875,15.076666666666666,32.68333333333333,junio
45,TOLEDO,24.634,0.1074829931972789,11.979999999999999,16.192999999999998,33.082,junio
46,VALENCIA,25.266483516483518,0.2379120879120879,11.855462184873948,19.00714285714286,31.529670329670328,junio
47,VALLADOLID,20.695,0.6865384615384614,10.306666666666667,12.436666666666667,28.948333333333334,junio
48,ZAMORA,20.02777777777778,0.6988764044943819,9.472727272727273,12.287777777777778,27.761111111111113,junio
49,ZARAGOZA,24.429861111111112,0.526241134751773,11.23063063063063,16.580555555555556,32.28263888888889,junio
