Periodo,2022M01,2022M01,2022M02,2022M02,2022M03,2022M03,2022M04,2022M04,2022M05,2022M05,2022M06,2022M06,2022M07,2022M07,2022M08,2022M08,2022M09,2022M09,2022M10,2022M10,2022M11,2022M11,2022M12,2022M12
Residencia_Nivel_2,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero
LA RIOJA,16.581,2.273,24.736,3.264,27.001,5.222,39.257,10.381,34.706,16.442,34.665,13.543,40.958,11.233,55.047,13.168,39.576,17.525,41.755,11.233,33.209,4.994,28.079,3.326
LAS PALMAS,49.378,259.184,62.589,340.660,68.893,394.383,101.633,398.435,118.115,339.220,134.181,345.581,150.193,401.861,166.313,411.778,127.884,355.596,103.601,442.136,70.914,398.047,81.178,427.039
LEON,25.822,2.339,36.122,2.837,40.517,4.767,57.409,14.238,57.538,29.475,62.498,25.345,69.805,18.213,93.670,20.310,68.951,27.767,63.344,20.706,40.075,5.068,32.779,2.822
LLEIDA,62.941,12.311,70.753,20.327,59.888,14.420,54.301,9.229,44.132,9.915,60.615,12.814,74.285,19.315,99.424,19.904,54.778,15.293,51.414,10.273,30.832,5.949,67.597,9.918
LUGO,15.178,1.028,20.387,1.652,25.183,4.318,46.688,12.083,46.610,25.110,48.858,24.760,71.689,19.315,90.797,17.783,61.765,32.015,46.484,21.110,26.377,4.270,22.705,2.013
MADRID,386.597,182.870,484.422,236.771,525.292,323.693,555.151,396.769,550.965,460.034,554.884,461.468,480.539,480.915,448.780,406.755,550.019,498.605,582.487,521.538,593.671,410.424,620.080,347.670
MALAGA,88.951,91.950,163.580,124.117,167.811,192.994,224.104,317.492,216.312,374.336,258.698,352.500,334.995,351.335,321.902,343.423,224.895,395.299,183.271,356.494,144.414,160.002,150.406,133.820
MURCIA,40.387,10.326,60.251,15.326,65.218,17.646,96.291,25.754,87.949,28.140,98.921,28.600,118.870,35.545,124.452,41.286,95.122,35.660,88.542,25.753,67.905,18.573,69.122,12.241
NAVARRA,29.734,6.802,43.592,8.379,51.681,11.633,67.900,23.867,61.664,32.934,66.879,29.313,69.289,34.930,85.584,45.586,70.809,37.234,76.216,23.198,54.646,12.227,46.776,10.187
OURENSE,13.326,959,19.981,1.733,20.122,1.427,26.880,2.827,25.904,3.530,27.538,4.128,28.671,4.180,40.206,5.437,29.880,4.515,28.596,3.452,22.520,2.254,20.757,1.914
