Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en España	2022M07	242.215
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2022M12	44.716
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2022M11	66.857
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2022M10	905.023
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2022M09	1.430.997
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2022M08	1.670.321
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2022M07	1.662.644
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2022M12	248.269
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2022M11	398.085
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2022M10	5.604.472
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2022M09	8.678.063
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2022M08	10.779.452
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2022M07	10.386.341
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2022M12	80.586
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2022M11	97.922
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2022M10	419.017
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2022M09	687.086
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2022M08	1.192.546
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2022M07	936.133
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	167.682
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	300.163
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	5.185.455
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	7.990.977
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	9.586.906
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	9.450.208
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2022M12	80.696
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2022M11	111.194
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2022M10	1.072.128
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2022M09	1.618.513
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2022M08	1.954.444
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2022M07	1.904.858
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2022M12	35.980
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2022M11	44.337
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2022M10	167.105
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2022M09	187.516
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2022M08	284.123
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2022M07	242.215
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2022M12	44.716
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2022M11	66.857
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2022M10	905.023
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2022M09	1.430.997
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2022M08	1.670.321
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2022M07	1.662.644
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2022M12	248.269
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2022M11	398.085
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2022M10	5.604.472
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2022M09	8.678.063
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2022M08	10.779.452
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2022M07	10.386.341
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2022M12	80.586
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2022M11	97.922
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2022M10	419.017
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2022M09	687.086
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2022M08	1.192.546
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2022M07	936.133
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	167.682
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	300.163
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	5.185.455
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	7.990.977
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	9.586.906
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	9.450.208
Total Nacional	05 Canarias		Viajero	Total 		2022M12	888.503
Total Nacional	05 Canarias		Viajero	Total 		2022M11	817.321
Total Nacional	05 Canarias		Viajero	Total 		2022M10	923.797
Total Nacional	05 Canarias		Viajero	Total 		2022M09	831.470
Total Nacional	05 Canarias		Viajero	Total 		2022M08	976.398
Total Nacional	05 Canarias		Viajero	Total 		2022M07	940.475
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2022M12	164.704
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2022M11	150.693
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2022M10	201.948
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2022M09	244.340
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2022M08	310.782
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2022M07	289.197
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2022M12	723.799
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2022M11	666.629
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2022M10	721.849
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2022M09	587.130
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2022M08	665.616
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2022M07	651.278
Total Nacional	05 Canarias		Pernoctaciones	Total 		2022M12	5.619.237
Total Nacional	05 Canarias		Pernoctaciones	Total 		2022M11	5.524.185
Total Nacional	05 Canarias		Pernoctaciones	Total 		2022M10	5.895.262
Total Nacional	05 Canarias		Pernoctaciones	Total 		2022M09	5.601.930
Total Nacional	05 Canarias		Pernoctaciones	Total 		2022M08	6.745.851
Total Nacional	05 Canarias		Pernoctaciones	Total 		2022M07	6.135.261
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2022M12	613.415
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2022M11	553.564
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2022M10	756.132
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2022M09	981.835
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2022M08	1.428.336
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2022M07	1.175.547
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	5.005.822
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	4.970.621
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	5.139.130
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	4.620.095
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	5.317.515
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	4.959.713
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2022M12	508.217
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2022M11	468.960
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2022M10	545.737
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2022M09	483.480
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2022M08	578.091
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2022M07	552.054
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2022M12	81.178
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2022M11	70.914
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2022M10	103.601
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2022M09	127.884
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2022M08	166.313
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2022M07	150.193
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2022M12	427.039
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2022M11	398.047
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2022M10	442.136
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2022M09	355.596
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2022M08	411.778
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2022M07	401.861
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2022M12	3.377.764
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2022M11	3.326.579
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2022M10	3.621.493
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2022M09	3.458.145
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2022M08	4.230.250
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2022M07	3.847.562
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2022M12	302.786
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2022M11	267.576
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2022M10	399.764
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2022M09	549.227
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2022M08	810.795
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2022M07	658.188
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	3.074.978
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	3.059.003
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	3.221.729
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	2.908.918
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	3.419.455
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	3.189.374
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2022M12	380.286
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2022M11	348.361
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2022M10	378.060
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2022M09	347.990
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2022M08	398.307
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2022M07	388.422
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2022M12	83.526
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2022M11	79.779
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2022M10	98.347
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2022M09	116.456
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2022M08	144.470
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2022M07	139.005
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2022M12	296.760
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2022M11	268.582
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2022M10	279.713
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2022M09	231.534
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2022M08	253.837
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2022M07	249.417
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2022M12	2.241.474
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2022M11	2.197.606
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2022M10	2.273.769
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2022M09	2.143.785
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2022M08	2.515.601
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2022M07	2.287.699
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2022M12	310.629
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2022M11	285.988
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2022M10	356.369
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2022M09	432.608
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2022M08	617.540
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2022M07	517.359
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	1.930.845
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	1.911.618
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	1.917.401
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	1.711.177
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	1.898.060
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	1.770.340
Total Nacional	06 Cantabria		Viajero	Total 		2022M12	53.052
Total Nacional	06 Cantabria		Viajero	Total 		2022M11	60.187
Total Nacional	06 Cantabria		Viajero	Total 		2022M10	112.156
Total Nacional	06 Cantabria		Viajero	Total 		2022M09	158.906
Total Nacional	06 Cantabria		Viajero	Total 		2022M08	208.609
Total Nacional	06 Cantabria		Viajero	Total 		2022M07	194.172
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2022M12	45.068
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2022M11	49.866
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2022M10	84.567
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2022M09	114.132
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2022M08	168.066
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2022M07	155.081
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2022M12	7.984
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2022M11	10.320
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2022M10	27.590
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2022M09	44.773
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2022M08	40.543
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2022M07	39.091
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2022M12	102.798
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2022M11	118.839
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2022M10	249.597
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2022M09	351.254
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2022M08	560.568
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2022M07	480.513
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2022M12	85.002
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2022M11	95.582
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2022M10	188.888
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2022M09	258.261
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2022M08	465.949
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2022M07	381.269
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	17.797
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	23.257
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	60.709
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	92.993
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	94.619
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	99.244
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2022M12	53.052
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2022M11	60.187
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2022M10	112.156
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2022M09	158.906
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2022M08	208.609
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2022M07	194.172
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2022M12	45.068
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2022M11	49.866
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2022M10	84.567
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2022M09	114.132
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2022M08	168.066
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2022M07	155.081
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2022M12	7.984
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2022M11	10.320
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2022M10	27.590
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2022M09	44.773
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2022M08	40.543
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2022M07	39.091
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2022M12	102.798
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2022M11	118.839
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2022M10	249.597
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2022M09	351.254
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2022M08	560.568
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2022M07	480.513
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2022M12	85.002
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2022M11	95.582
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2022M10	188.888
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2022M09	258.261
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2022M08	465.949
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2022M07	381.269
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	17.797
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	23.257
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	60.709
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	92.993
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	94.619
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	99.244
Total Nacional	07 Castilla y León		Viajero	Total 		2022M12	287.372
Total Nacional	07 Castilla y León		Viajero	Total 		2022M11	318.776
Total Nacional	07 Castilla y León		Viajero	Total 		2022M10	466.175
Total Nacional	07 Castilla y León		Viajero	Total 		2022M09	503.684
Total Nacional	07 Castilla y León		Viajero	Total 		2022M08	634.835
Total Nacional	07 Castilla y León		Viajero	Total 		2022M07	515.853
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2022M12	241.688
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2022M11	268.670
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2022M10	358.248
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2022M09	372.349
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2022M08	468.418
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2022M07	372.517
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2022M12	45.684
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2022M11	50.106
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2022M10	107.927
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2022M09	131.334
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2022M08	166.417
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2022M07	143.335
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2022M12	505.952
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2022M11	558.643
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2022M10	784.829
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2022M09	824.010
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2022M08	1.023.273
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2022M07	827.571
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2022M12	429.219
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2022M11	470.042
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2022M10	615.500
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2022M09	622.273
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2022M08	792.831
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2022M07	620.313
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	76.732
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	88.601
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	169.329
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	201.736
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	230.442
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	207.257
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2022M12	23.988
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2022M11	25.160
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2022M10	34.934
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2022M09	35.796
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2022M08	43.196
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2022M07	32.382
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2022M12	21.731
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2022M11	22.857
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2022M10	29.933
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2022M09	30.647
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2022M08	38.894
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2022M07	28.580
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en el Extranjero	2022M12	2.257
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en el Extranjero	2022M11	2.303
