Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	02 Aragón	22 Huesca	Viajero	Total 	Residentes en España	2023M09	62.893
Total Nacional	02 Aragón	22 Huesca	Viajero	Total 	Residentes en el Extranjero	2023M09	18.956
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total 		2023M09	170.912
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total 	Residentes en España	2023M09	134.576
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	36.337
Total Nacional	02 Aragón	44 Teruel	Viajero	Total 		2023M09	40.609
Total Nacional	02 Aragón	44 Teruel	Viajero	Total 	Residentes en España	2023M09	34.274
Total Nacional	02 Aragón	44 Teruel	Viajero	Total 	Residentes en el Extranjero	2023M09	6.334
Total Nacional	02 Aragón	44 Teruel	Pernoctaciones	Total 		2023M09	78.563
Total Nacional	02 Aragón	44 Teruel	Pernoctaciones	Total 	Residentes en España	2023M09	66.478
Total Nacional	02 Aragón	44 Teruel	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	12.085
Total Nacional	02 Aragón	50 Zaragoza	Viajero	Total 		2023M09	146.994
Total Nacional	02 Aragón	50 Zaragoza	Viajero	Total 	Residentes en España	2023M09	105.501
Total Nacional	02 Aragón	50 Zaragoza	Viajero	Total 	Residentes en el Extranjero	2023M09	41.493
Total Nacional	02 Aragón	50 Zaragoza	Pernoctaciones	Total 		2023M09	258.779
Total Nacional	02 Aragón	50 Zaragoza	Pernoctaciones	Total 	Residentes en España	2023M09	190.631
Total Nacional	02 Aragón	50 Zaragoza	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	68.148
Total Nacional	03 Asturias, Principado de		Viajero	Total 		2023M09	235.417
Total Nacional	03 Asturias, Principado de		Viajero	Total 	Residentes en España	2023M09	175.237
Total Nacional	03 Asturias, Principado de		Viajero	Total 	Residentes en el Extranjero	2023M09	60.180
Total Nacional	03 Asturias, Principado de		Pernoctaciones	Total 		2023M09	471.324
Total Nacional	03 Asturias, Principado de		Pernoctaciones	Total 	Residentes en España	2023M09	362.333
Total Nacional	03 Asturias, Principado de		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	108.991
Total Nacional	03 Asturias, Principado de	33 Asturias	Viajero	Total 		2023M09	235.417
Total Nacional	03 Asturias, Principado de	33 Asturias	Viajero	Total 	Residentes en España	2023M09	175.237
Total Nacional	03 Asturias, Principado de	33 Asturias	Viajero	Total 	Residentes en el Extranjero	2023M09	60.180
Total Nacional	03 Asturias, Principado de	33 Asturias	Pernoctaciones	Total 		2023M09	471.324
Total Nacional	03 Asturias, Principado de	33 Asturias	Pernoctaciones	Total 	Residentes en España	2023M09	362.333
Total Nacional	03 Asturias, Principado de	33 Asturias	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	108.991
Total Nacional	04 Balears, Illes		Viajero	Total 		2023M09	1.677.754
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en España	2023M09	175.619
Total Nacional	04 Balears, Illes		Viajero	Total 	Residentes en el Extranjero	2023M09	1.502.135
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 		2023M09	9.100.655
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en España	2023M09	654.444
Total Nacional	04 Balears, Illes		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	8.446.210
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 		2023M09	1.677.754
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en España	2023M09	175.619
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total 	Residentes en el Extranjero	2023M09	1.502.135
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 		2023M09	9.100.655
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en España	2023M09	654.444
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	8.446.210
Total Nacional	05 Canarias		Viajero	Total 		2023M09	871.238
Total Nacional	05 Canarias		Viajero	Total 	Residentes en España	2023M09	234.709
Total Nacional	05 Canarias		Viajero	Total 	Residentes en el Extranjero	2023M09	636.529
Total Nacional	05 Canarias		Pernoctaciones	Total 		2023M09	5.835.103
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en España	2023M09	930.639
Total Nacional	05 Canarias		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	4.904.464
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 		2023M09	511.139
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en España	2023M09	127.488
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total 	Residentes en el Extranjero	2023M09	383.651
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 		2023M09	3.642.792
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en España	2023M09	536.075
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	3.106.718
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 		2023M09	360.098
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en España	2023M09	107.221
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total 	Residentes en el Extranjero	2023M09	252.877
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 		2023M09	2.192.311
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en España	2023M09	394.565
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.797.746
Total Nacional	06 Cantabria		Viajero	Total 		2023M09	150.367
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en España	2023M09	104.286
Total Nacional	06 Cantabria		Viajero	Total 	Residentes en el Extranjero	2023M09	46.081
Total Nacional	06 Cantabria		Pernoctaciones	Total 		2023M09	324.933
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en España	2023M09	236.925
Total Nacional	06 Cantabria		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	88.008
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 		2023M09	150.367
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en España	2023M09	104.286
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total 	Residentes en el Extranjero	2023M09	46.081
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 		2023M09	324.933
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en España	2023M09	236.925
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	88.008
Total Nacional	07 Castilla y León		Viajero	Total 		2023M09	534.103
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en España	2023M09	372.146
Total Nacional	07 Castilla y León		Viajero	Total 	Residentes en el Extranjero	2023M09	161.956
Total Nacional	07 Castilla y León		Pernoctaciones	Total 		2023M09	883.175
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en España	2023M09	640.100
Total Nacional	07 Castilla y León		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	243.074
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 		2023M09	38.515
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en España	2023M09	32.379
Total Nacional	07 Castilla y León	05 Ávila	Viajero	Total 	Residentes en el Extranjero	2023M09	6.136
Total Nacional	07 Castilla y León	05 Ávila	Pernoctaciones	Total 		2023M09	60.358
Total Nacional	07 Castilla y León	05 Ávila	Pernoctaciones	Total 	Residentes en España	2023M09	50.486
Total Nacional	07 Castilla y León	05 Ávila	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	9.872
Total Nacional	07 Castilla y León	09 Burgos	Viajero	Total 		2023M09	96.124
Total Nacional	07 Castilla y León	09 Burgos	Viajero	Total 	Residentes en España	2023M09	52.246
Total Nacional	07 Castilla y León	09 Burgos	Viajero	Total 	Residentes en el Extranjero	2023M09	43.878
Total Nacional	07 Castilla y León	09 Burgos	Pernoctaciones	Total 		2023M09	143.445
Total Nacional	07 Castilla y León	09 Burgos	Pernoctaciones	Total 	Residentes en España	2023M09	86.377
Total Nacional	07 Castilla y León	09 Burgos	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	57.067
Total Nacional	07 Castilla y León	24 León	Viajero	Total 		2023M09	101.218
Total Nacional	07 Castilla y León	24 León	Viajero	Total 	Residentes en España	2023M09	63.326
Total Nacional	07 Castilla y León	24 León	Viajero	Total 	Residentes en el Extranjero	2023M09	37.892
Total Nacional	07 Castilla y León	24 León	Pernoctaciones	Total 		2023M09	148.940
Total Nacional	07 Castilla y León	24 León	Pernoctaciones	Total 	Residentes en España	2023M09	98.221
Total Nacional	07 Castilla y León	24 León	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	50.719
Total Nacional	07 Castilla y León	34 Palencia	Viajero	Total 		2023M09	25.084
Total Nacional	07 Castilla y León	34 Palencia	Viajero	Total 	Residentes en España	2023M09	18.177
Total Nacional	07 Castilla y León	34 Palencia	Viajero	Total 	Residentes en el Extranjero	2023M09	6.907
Total Nacional	07 Castilla y León	34 Palencia	Pernoctaciones	Total 		2023M09	43.921
Total Nacional	07 Castilla y León	34 Palencia	Pernoctaciones	Total 	Residentes en España	2023M09	33.462
