Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M05	90.422
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M04	70.416
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M03	42.511
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M02	39.146
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M01	22.290
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M06	32.084
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M05	28.431
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M04	19.025
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M03	13.274
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M02	10.284
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M01	9.007
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M06	579.428
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M05	372.006
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M04	264.538
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M03	168.255
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M02	103.607
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M01	65.951
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M06	419.902
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M05	261.272
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M04	205.526
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M03	124.044
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M02	69.288
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M01	40.808
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	159.526
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	110.734
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	59.012
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	44.210
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	34.320
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	25.143
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M06	326.726
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M05	286.803
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M04	240.758
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M03	125.866
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M02	107.541
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M01	66.711
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M06	232.757
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M05	197.200
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M04	163.824
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M03	85.986
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M02	80.010
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M01	49.164
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M06	93.969
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M05	89.603
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M04	76.934
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M03	39.880
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M02	27.531
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M01	17.547
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M06	934.433
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M05	738.157
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M04	621.947
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M03	303.644
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M02	232.827
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M01	141.728
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M06	576.595
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M05	426.243
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M04	374.612
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M03	165.496
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M02	149.028
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M01	89.031
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	357.838
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	311.915
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	247.336
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	138.148
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	83.798
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	52.697
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M06	86.049
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M05	108.654
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M04	105.128
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M03	81.432
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M02	70.543
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M01	53.890
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M06	53.379
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M05	64.872
